City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
225,novyy turtkul',41.55,61.0167,10.95,56,59,1.83,UZ,1683408368
226,kuloy,61.0305,42.4925,-1.69,86,100,3.92,RU,1683408368
227,lejanias,3.5251,-74.0216,24.98,85,92,1.36,CO,1683408369
228,qarazhal,48.0078,70.7903,13.54,36,2,4.03,KZ,1683408369
229,ceeldheer,3.8488,47.1806,27.46,82,100,6.53,SO,1683408370
230,nordhausen,51.5167,10.8,10.94,94,100,2.27,DE,1683408370
231,kindu,-2.95,25.95,22.01,95,97,1.08,CD,1683408370
232,tarko-sale,64.9225,77.785,-0.33,89,100,4.19,RU,1683408371
233,tazacorte,28.629,-17.9293,21.54,87,0,8.23,ES,1683408371
234,bijie,27.3125,105.2942,14.09,92,100,1.81,CN,1683408372
235,xindi,29.8167,113.4667,13.89,78,100,5.53,CN,1683408372
236,bulungu,-4.55,18.6,22.46,94,54,0.94,CD,1683408373
237,zaozhuang,34.8647,117.5542,15.2,47,100,2.56,CN,1683408373
238,jamaame,0.0697,42.745,26.2,81,2,3.19,SO,1683408374
239,ouarzazat,30.9189,-6.8934,24.16,25,0,6.17,MA,1683408374
240,port elizabeth,-33.918,25.5701,17.16,83,0,5.66,ZA,1683408375
241,knokke,50.7979,3.3628,16.15,77,100,0.75,BE,1683408375
242,yonggwang-up,40.0183,127.4547,10.31,67,100,1.99,KP,1683408376
243,utrik,11.2278,169.8474,27.18,78,97,7.59,MH,1683408376
244,auki,-8.7676,160.7034,27.0,85,43,1.25,SB,1683408377
245,kapa'a,22.0752,-159.319,26.38,66,100,9.26,US,1683408377
246,chifeng,42.2683,118.9636,8.72,32,1,5.72,CN,1683408378
247,hammerfest,70.6634,23.6821,2.25,69,100,2.57,NO,1683408379
248,tynda,55.1667,124.7167,0.05,87,16,0.4,RU,1683408379
249,fuxin,42.0156,121.6589,11.7,34,93,6.5,CN,1683408380
250,port-vila,-17.7338,168.3219,26.78,78,75,0.51,VU,1683408380
251,thunder bay,48.4001,-89.3168,5.99,100,100,7.72,CA,1683408341
252,jiaojiang,28.6803,121.4428,18.89,94,100,3.42,CN,1683408381
253,cortez,37.3489,-108.5859,18.35,22,0,4.63,US,1683408382
254,kerikeri,-35.2268,173.9474,18.16,94,100,4.35,NZ,1683408382
255,valparaiso,-33.0393,-71.6273,16.8,67,0,2.57,CL,1683408383
256,tura,25.5198,90.2201,22.8,69,1,2.33,IN,1683408383
257,selfoss,63.9331,-20.9971,10.02,73,100,3.8,IS,1683408383
258,dumai,1.6833,101.45,23.74,97,100,2.58,ID,1683408384
259,kerema,-7.9631,145.7785,25.49,87,100,2.28,PG,1683408199
260,calama,-22.4667,-68.9333,21.27,16,0,10.29,CL,1683408385
261,umag,45.4314,13.5239,19.01,73,72,4.12,HR,1683408385
262,inhambane,-23.865,35.3833,21.99,79,0,3.1,MZ,1683408385
263,zaragoza,41.6561,-0.8773,20.25,60,0,4.12,ES,1683408119
264,isiolo,0.3546,37.5822,19.92,79,60,3.86,KE,1683408386
265,akureyri,65.6835,-18.0878,6.96,81,20,4.63,IS,1683408387
266,nacozari de garcia,30.3742,-109.6908,27.75,8,64,8.09,MX,1683408387
267,negombo,7.2083,79.8358,26.03,100,40,0.51,LK,1683408387
268,fort pierce,27.4467,-80.3256,27.01,83,100,8.49,US,1683408388
269,robertsport,6.7533,-11.3686,27.72,83,41,4.91,LR,1683408388
270,katsuura,35.1333,140.3,20.54,87,100,12.6,JP,1683408389
271,saint-pierre,-21.3393,55.4781,23.82,78,100,2.57,RE,1683408389
272,fomboni,-12.28,43.7425,27.74,68,15,6.12,KM,1683408389
273,novyy urengoy,66.0833,76.6333,-6.54,94,100,2.7,RU,1683408390
274,carutapera,-1.195,-46.02,26.08,83,39,3.8,BR,1683408390
275,sinabang,2.4803,96.3801,26.28,86,100,7.32,ID,1683408391
276,al hilaliyya,14.9398,33.234,34.82,10,4,3.91,SD,1683408391
277,fort st. john,56.2499,-120.8529,19.94,24,40,9.26,CA,1683408392
